,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022,INSTITUICAO_ENSINO_ALUNO_2020_Escola João Paulo II,INSTITUICAO_ENSINO_ALUNO_2020_Escola Pública,INSTITUICAO_ENSINO_ALUNO_2020_Rede Decisão/União,Cluster,Cluster_IEG,Cluster_2020,Cluster_2021,Cluster_2022
300,301,9.0,1.0,0.0,8.848335333333335,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.2,7.5,9.5,7.916666666666668,7.833333333333333,10.0,2.0,J,Escola Pública,Veterano,Topázio,8.289,9.0,9.2,7.5,6.3,8.5,Mantido na Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,8.4,10.0,Nível 2 (5o e 6o ano),0.0,2.0,P,2019.0,Não,8.188103917267917,87.0,11.0,2.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,7.919672919672919,7.5,8.0,8.0,8.0,3.0,6.875,Promovido de Fase,Promovido de Fase,Não,0.0,8.333336666666668,10.0,Fase 2 (5º e 6º ano),0.0,1.0,0.0,2,1,0,1,2
304,305,13.0,2.0,0.0,7.361390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.3,7.5,6.5,6.458333333333334,8.277776666666666,5.0,3.0,J,Rede Decisão,Veterano,Ametista,7.315,7.9,7.8,5.6,7.5,7.5,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,8.3,5.0,Nível 4 (9o ano),-1.0,4.0,P,2018.0,Sim,6.916844597820308,522.0,44.0,5.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.916679999999999,8.301236044657097,6.25,5.944444444444444,4.666666666666667,8.166666666666666,4.0,7.34375,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,0.0,7.0833275,5.0,Fase 5 (1º EM),0.0,1.0,0.0,2,2,2,1,0
311,312,11.0,1.0,0.0,8.508890666666668,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.1,7.5,8.5,5.833333333333333,8.277776666666666,10.0,2.0,J,Rede Decisão,Veterano,Ametista,7.946,9.0,9.6,4.4,7.8,8.8,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,0.0,8.8,5.0,Nível 3 (7o e 8o ano),-1.0,3.0,M,2019.0,Sim,7.278024793650793,404.0,48.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,8.19047619047619,5.0,6.777777777777778,6.333333333333333,7.333333333333333,4.0,7.34375,Promovido de Fase,Mantido na Fase atual,Não,0.0,6.70833,10.0,Fase 3 (7º e 8º ano),0.0,1.0,0.0,2,1,0,1,2
312,313,8.0,0.0,0.0,7.900001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,10.0,7.5,6.5,7.5,6.749995,10.0,0.0,P,Escola Pública,Veterano,Ametista,7.375,9.5,8.3,5.0,6.3,8.1,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,0.0,8.4,5.0,Nível 2 (5o e 6o ano),-2.0,1.0,J,2020.0,Não,7.073794270531402,464.0,118.0,9.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.743961352657005,5.0,6.833333333333333,6.333333333333333,7.333333333333333,3.0,5.416666666666667,Mantido na Fase atual,Mantido na Fase atual,Não,0.0,7.333333333333333,5.0,Fase 3 (7º e 8º ano),0.0,1.0,0.0,2,1,0,1,2
322,323,11.0,4.0,0.0,6.053335000000001,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,9.1,5.0,4.5,2.5,6.416665,5.0,1.0,B,Rede Decisão,Veterano,Quartzo,4.976,7.4,7.1,4.4,3.3,3.8,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,4.3,5.0,Nível 3 (7o e 8o ano),-2.0,1.0,B,2016.0,Sim,6.322731276895944,678.0,163.0,14.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.91668,9.217813051146384,5.0,5.083333333333334,4.166666666666667,6.0,3.0,6.041666666666667,Promovido de Fase + Bolsa,Promovido de Fase,Não,0.0,5.833336666666666,5.0,Fase 3 (7º e 8º ano),,,,0,1,2,2,0
331,332,12.0,1.0,0.0,8.258057333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9.2,7.5,10.0,7.291666666666667,7.444443333333333,5.0,1.0,G,Escola Pública,Veterano,Topázio,8.342,9.0,9.6,7.5,7.4,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,1.0,9.8,5.0,Nível 2 (5o e 6o ano),-1.0,2.0,F,2019.0,Não,8.750002666666667,12.0,1.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,10.0,7.5,8.75,9.5,8.0,3.0,6.666666666666666,Promovido de Fase,Mantido na Fase atual,Não,0.0,8.166670000000002,10.0,Fase 2 (5º e 6º ano),,,,2,1,0,1,2
336,337,14.0,4.0,1.0,8.952223333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,10.0,7.0,9.166666666666666,9.111113333333332,10.0,5.0,B,Rede Decisão,Veterano,Ametista,7.661,7.5,8.1,7.5,7.3,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,0.0,8.5,5.0,Nível 6 (2o EM),-1.0,6.0,A,2016.0,Sim,7.123577106726749,449.0,12.0,12.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0.0,7.580379978078188,8.125,7.98888888888889,7.666666666666667,6.3,4.0,8.75,Promovido de Fase,Promovido de Fase + Bolsa,Não,1.0,9.111116666666666,5.0,Fase 7 (3º EM),,,,2,1,0,1,2
339,340,14.0,2.0,0.0,7.595277333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,9.4,7.5,7.0,8.541666666666666,6.888883333333333,5.0,3.0,C,Escola Pública,Veterano,Ametista,7.800,8.8,8.1,7.5,7.0,8.3,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,1.0,9.1,5.0,Nível 5 (1o EM),-2.0,5.0,C,2018.0,Não,5.717800478632479,756.0,47.0,3.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,6.073717948717948,7.5,2.494444444444444,4.666666666666667,2.566666666666666,4.0,6.875,Promovido de Fase,Mantido na Fase atual,Não,0.0,6.166670000000001,5.0,Fase 6 (2º EM),,,,2,1,0,1,1
341,342,11.0,4.0,0.0,8.133752000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.2,5.625,8.0,5.3125,8.5,10.0,2.0,B,Rede Decisão,Veterano,Ametista,7.392,8.5,6.7,7.5,7.6,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,0.0,8.4,5.0,Nível 3 (7o e 8o ano),-1.0,3.0,A,2016.0,Sim,7.024874570707071,481.0,61.0,13.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0.0,8.825757575757576,4.375,6.277777777777778,6.166666666666667,5.333333333333333,4.0,8.75,Promovido de Fase + Bolsa,Promovido de Fase,Não,1.0,8.458337499999999,10.0,Fase 3 (7º e 8º ano),,,,2,1,0,1,0
344,345,8.0,1.0,0.0,8.5,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,10.0,7.5,10.0,7.5,5.74999,10.0,1.0,F,Escola Pública,Veterano,Ágata,6.764,9.5,5.0,7.5,4.2,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,7.3,10.0,Nível 1 (4o ano),0.0,1.0,J,2019.0,Não,5.72210322705314,755.0,179.0,17.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.041062801932369,7.5,1.333333333333333,0.6666666666666666,2.0,3.0,5.416666666666667,Mantido na Fase atual,Mantido na Fase atual,Não,0.0,6.777776666666666,5.0,Fase 2 (5º e 6º ano),,,,2,1,0,2,1
347,348,9.0,1.0,0.0,7.79167,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,10.0,6.25,9.5,2.5,7.83334,5.0,1.0,F,Escola Pública,Veterano,Ametista,7.558,10.0,8.8,7.5,6.4,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,7.5,5.0,Nível 2 (5o e 6o ano),-1.0,1.0,J,2019.0,Não,6.589433478260871,630.0,153.0,13.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.815217391304348,7.5,3.666666666666667,3.333333333333333,4.0,3.0,6.041666666666667,Mantido na Fase atual,Mantido na Fase atual,Não,0.0,6.94444,5.0,Fase 2 (5º e 6º ano),,,,1,1,0,1,0
358,359,10.0,1.0,0.0,8.175279333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,9.3,7.5,7.0,7.708333333333334,7.722219999999999,10.0,2.0,E,Escola Pública,Veterano,Ametista,7.326,8.0,5.0,7.5,8.0,8.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,1.0,9.1,5.0,Nível 3 (7o e 8o ano),-1.0,3.0,I,2019.0,Não,7.925542577808901,162.0,26.0,1.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.709305944600063,7.5,6.944444444444444,5.333333333333333,7.0,4.0,8.28125,Promovido de Fase + Bolsa,Mantido na Fase atual,Sim,0.0,7.9166675,10.0,Fase 3 (7º e 8º ano),,,,2,1,0,1,2
363,364,9.0,1.0,0.0,7.813335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.9,4.375,7.5,5.625,7.166665,10.0,2.0,A,Escola Pública,Veterano,Ágata,6.306,0.0,7.5,4.4,4.7,7.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,8.6,10.0,Nível 2 (5o e 6o ano),0.0,2.0,A,2019.0,Não,6.312788373897707,683.0,126.0,12.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.416679999999999,6.869488536155202,4.375,5.0,3.0,7.0,3.0,6.041666666666667,Mantido na Fase atual,Promovido de Fase,Não,0.0,5.77778,10.0,Fase 2 (5º e 6º ano),,,,1,1,0,2,0
364,365,15.0,3.0,1.0,8.396044333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,5.0,6.666666666666667,8.59375,9.125005000000002,10.0,6.0,C,Rede Decisão,Veterano,Ametista,7.376,9.2,6.9,5.0,6.5,6.9,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,0.0,7.9,10.0,Nível 6 (2o EM),0.0,7.0,A,2017.0,Sim,5.951307967320262,731.0,15.0,7.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,4.46764705882353,5.625,5.011111111111111,2.833333333333333,3.533333333333333,4.0,5.625,Promovido de Fase,Mantido na Fase atual,Não,0.0,5.277776666666666,10.0,Fase 7 (3º EM),,,,2,1,0,1,1
369,370,13.0,1.0,1.0,8.613335,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,9.9,7.5,6.5,8.75,9.166669999999998,10.0,3.0,G,Escola Pública,Veterano,Ametista,8.196,7.9,8.9,6.3,9.1,9.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,0.0,8.9,5.0,Nível 4 (9o ano),-1.0,4.0,F,2019.0,Não,7.692119104617605,237.0,20.0,4.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.780032467532467,5.625,8.555555555555555,8.0,8.166666666666666,4.0,8.125,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,1.0,8.5833375,5.0,Fase 5 (1º EM),,,,2,1,0,1,2
372,373,14.0,3.0,0.0,6.216666833333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,5.0,5.625,5.666666666666667,8.125,6.6666625,5.0,4.0,L,Escola Pública,Veterano,Quartzo,4.712,9.2,4.4,5.6,1.5,7.2,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,0.0,4.2,5.0,Nível 5 (1o EM),-1.0,5.0,C,2017.0,Não,5.711969322455323,757.0,48.0,4.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.646998834498834,5.0,2.911111111111111,5.666666666666667,2.9,4.0,7.03125,Promovido de Fase,Mantido na Fase atual,Não,0.0,6.111106666666666,5.0,Fase 6 (2º EM),,,,0,0,1,0,1
374,375,10.0,4.0,1.0,9.33542,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.5,7.5,9.5,9.6875,9.58334,10.0,2.0,B,Rede Decisão,Veterano,Topázio,8.858,9.5,10.0,7.5,8.1,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,0.0,8.9,10.0,Nível 2 (5o e 6o ano),0.0,3.0,B,2016.0,Sim,8.155073214424952,95.0,16.0,2.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,8.893762183235868,5.625,6.688888888888887,5.0,6.333333333333333,4.0,8.59375,Promovido de Fase + Bolsa,Promovido de Fase,Não,1.0,8.5,10.0,Fase 3 (7º e 8º ano),,,,2,1,0,1,2
376,377,11.0,3.0,0.0,7.412223000000001,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.583350000000001,6.7,4.375,6.0,8.541666666666666,8.111106666666666,10.0,3.0,G,Rede Decisão,Veterano,Ametista,7.110,8.8,7.5,5.6,4.2,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,7.9,10.0,Nível 3 (7o e 8o ano),0.0,3.0,F,2017.0,Sim,6.94278506049506,510.0,65.0,11.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,8.08025308025308,5.0,4.722222222222222,6.333333333333333,5.0,4.0,7.65625,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,0.0,7.04166,10.0,Fase 3 (7º e 8º ano),,,,0,2,2,2,0
377,378,15.0,4.0,0.0,7.969167,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,9.7,3.75,7.0,8.125,8.25,10.0,6.0,C,Rede Decisão,Veterano,Ametista,7.441,6.7,7.8,4.4,7.7,7.8,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,0.0,7.3,10.0,Nível 6 (2o EM),0.0,7.0,A,2016.0,Sim,7.427454954248366,344.0,6.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.648039215686275,5.625,5.188888888888889,7.0,2.9,4.0,8.28125,Promovido de Fase,Promovido de Fase + Bolsa,Não,0.0,7.388886666666666,10.0,Fase 7 (3º EM),,,,2,1,0,1,0
380,381,9.0,1.0,0.0,6.443336,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9.8,2.5,8.5,2.5,4.16667,5.0,0.0,I,Escola Pública,Veterano,Ametista,7.052,9.5,8.3,6.3,6.1,7.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,0.0,6.6,5.0,Nível 2 (5o e 6o ano),-2.0,0.0,G,2019.0,Não,6.953207128205129,503.0,144.0,6.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.891025641025642,5.625,8.0,8.5,7.5,2.0,5.625,Promovido de Fase,Promovido de Fase,Não,0.0,7.25,5.0,Fase 2 (5º e 6º ano),,,,1,1,0,1,0
386,387,13.0,2.0,0.0,6.289445333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,5.6,4.375,6.0,6.875,7.222216666666665,5.0,3.0,R,Escola Pública,Veterano,Ágata,6.190,7.9,5.8,5.0,6.6,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,5.9,5.0,Nível 4 (9o ano),-1.0,4.0,P,2018.0,Não,5.159305551302499,814.0,73.0,9.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,5.126395534290271,6.25,3.222222222222222,1.333333333333333,4.5,4.0,6.5625,Mantido na Fase atual,Mantido na Fase atual,Não,0.0,4.79166,5.0,Fase 5 (1º EM),,,,0,0,1,2,1
387,388,12.0,2.0,0.0,7.0419453333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.8,7.5,5.5,6.875,7.222216666666665,5.0,2.0,C,Escola Pública,Veterano,Ágata,6.007,9.5,3.8,7.5,3.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,7.7,5.0,Nível 3 (7o e 8o ano),-1.0,2.0,A,2018.0,Não,6.445768751322752,651.0,116.0,11.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.756613756613756,7.5,2.5,2.333333333333333,2.666666666666667,3.0,5.833333333333334,Mantido na Fase atual,Promovido de Fase,Não,0.0,7.055553333333332,5.0,Fase 4 (9º ano),,,,0,1,2,2,0
393,394,15.0,4.0,0.0,5.934999666666666,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,5.3,5.0,6.333333333333333,6.25,6.166665,5.0,4.0,F,Rede Decisão,Veterano,Ágata,6.053,7.1,5.3,6.9,5.2,7.2,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,0.0,6.7,5.0,Nível 6 (2o EM),-2.0,4.0,F,2016.0,Sim,7.056350274891774,468.0,38.0,9.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.895292207792206,5.0,7.266666666666666,6.0,7.333333333333333,4.0,7.65625,Promovido de Fase + Bolsa,Promovido de Fase,Não,0.0,7.7916675,2.5,Fase 7 (3º EM),,,,0,0,1,2,2
395,396,15.0,1.0,0.0,7.454722,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.1,7.5,8.0,8.125,6.11111,5.0,5.0,A,Escola Pública,Veterano,Ametista,7.593,7.9,8.1,7.5,7.2,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,0.0,8.7,5.0,Nível 6 (2o EM),-1.0,6.0,A,2019.0,Não,6.241624113546868,698.0,14.0,14.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.083816678845451,7.5,4.988888888888888,8.166666666666666,1.533333333333333,4.0,7.1875,Promovido de Fase,Mantido na Fase atual,Não,0.0,6.333329999999999,5.0,Fase 7 (3º EM),,,,2,1,0,1,0
403,404,13.0,4.0,0.0,8.318544833333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.9,4.375,6.666666666666667,8.59375,8.5416725,10.0,4.0,G,Rede Decisão,Veterano,Topázio,8.499,8.8,9.2,7.5,7.4,8.9,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,0.0,8.3,10.0,Nível 4 (9o ano),0.0,5.0,L,2016.0,Sim,8.940600419054803,6.0,4.0,3.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.660633484162895,8.125,8.511111111111111,8.833333333333334,8.333333333333334,4.0,8.4375,Promovido de Fase,Mantido na Fase atual,Não,1.0,9.0833375,10.0,Fase 5 (1º EM),,,,2,1,0,1,2
